schema_name,table_name,policy_name,policy_mode,policy_roles,policy_command,complete_using_expression,complete_with_check_expression
public,product_color,phase32b_product_color_update_guard,RESTRICTIVE,{authenticated},UPDATE,"(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_color.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))","(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_color.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))"
public,product_color,product_color_select,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_color.product_id) AND ((p.lifecycle_state = 'published'::product_state) OR (p.marketplace_party_id = current_marketplace_party_id())))))",null
public,product_color,product_color_write_own,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_color.product_id) AND (p.marketplace_party_id = current_marketplace_party_id()))))","(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_color.product_id) AND (p.marketplace_party_id = current_marketplace_party_id()))))"
public,product_enrichment_assignment,phase32b_enrichment_anon_read,PERMISSIVE,{anon},SELECT,"((confirmation_state = 'party_confirmed'::enrichment_confirmation_state) AND (EXISTS ( SELECT 1
   FROM product visible_product
  WHERE (visible_product.id = product_enrichment_assignment.product_id))))",null
public,product_enrichment_assignment,phase32b_enrichment_anon_read_guard,RESTRICTIVE,{anon},SELECT,"((confirmation_state = 'party_confirmed'::enrichment_confirmation_state) AND (EXISTS ( SELECT 1
   FROM product visible_product
  WHERE (visible_product.id = product_enrichment_assignment.product_id))))",null
public,product_enrichment_assignment,phase32b_enrichment_authenticated_read_guard,RESTRICTIVE,{authenticated},SELECT,"(((confirmation_state = 'party_confirmed'::enrichment_confirmation_state) AND (EXISTS ( SELECT 1
   FROM product visible_product
  WHERE (visible_product.id = product_enrichment_assignment.product_id)))) OR (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_enrichment_assignment.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))",null
public,product_enrichment_assignment,phase32b_enrichment_delete_guard,RESTRICTIVE,{authenticated},DELETE,"(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_enrichment_assignment.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))",null
public,product_enrichment_assignment,phase32b_enrichment_insert_guard,RESTRICTIVE,{authenticated},INSERT,null,"(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_enrichment_assignment.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))"
public,product_enrichment_assignment,phase32b_enrichment_owner_read,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_enrichment_assignment.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id()))))",null
public,product_enrichment_assignment,phase32b_enrichment_update_guard,RESTRICTIVE,{authenticated},UPDATE,"(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_enrichment_assignment.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))","(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_enrichment_assignment.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))"
public,product_enrichment_assignment,product_enrichment_assignment_select,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_enrichment_assignment.product_id) AND ((p.lifecycle_state = 'published'::product_state) OR (p.marketplace_party_id = current_marketplace_party_id())))))",null
public,product_enrichment_assignment,product_enrichment_assignment_write_own,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_enrichment_assignment.product_id) AND (p.marketplace_party_id = current_marketplace_party_id()))))","(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_enrichment_assignment.product_id) AND (p.marketplace_party_id = current_marketplace_party_id()))))"
public,product_enrichment_attribute,product_enrichment_attribute_select,PERMISSIVE,"{anon,authenticated}",SELECT,true,null
public,product_image,phase32b_product_image_anon_read,PERMISSIVE,{anon},SELECT,"(EXISTS ( SELECT 1
   FROM product visible_product
  WHERE (visible_product.id = product_image.product_id)))",null
public,product_image,phase32b_product_image_anon_read_guard,RESTRICTIVE,{anon},SELECT,"(EXISTS ( SELECT 1
   FROM product visible_product
  WHERE (visible_product.id = product_image.product_id)))",null
public,product_image,phase32b_product_image_authenticated_read_guard,RESTRICTIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM product visible_product
  WHERE (visible_product.id = product_image.product_id)))",null
public,product_image,phase32b_product_image_delete_guard,RESTRICTIVE,{authenticated},DELETE,"(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_image.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))",null
public,product_image,phase32b_product_image_insert_guard,RESTRICTIVE,{authenticated},INSERT,null,"(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_image.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))"
public,product_image,phase32b_product_image_owner_read,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_image.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id()))))",null
public,product_image,phase32b_product_image_update_guard,RESTRICTIVE,{authenticated},UPDATE,"(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_image.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))","(current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM product parent_product
  WHERE ((parent_product.id = product_image.product_id) AND (parent_product.marketplace_party_id = current_marketplace_party_id())))))"
public,product_image,product_image_select,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_image.product_id) AND ((p.lifecycle_state = 'published'::product_state) OR (p.marketplace_party_id = current_marketplace_party_id())))))",null
public,product_image,product_image_write_own,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_image.product_id) AND (p.marketplace_party_id = current_marketplace_party_id()))))","(EXISTS ( SELECT 1
   FROM product p
  WHERE ((p.id = product_image.product_id) AND (p.marketplace_party_id = current_marketplace_party_id()))))"
public,purchase_order,purchase_order_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,purchase_order,purchase_order_select_engaged,PERMISSIVE,{authenticated},SELECT,((customer_profile_id = current_customer_profile_id()) OR (marketplace_party_id = current_marketplace_party_id())),null
public,purchase_order,purchase_order_update_party,PERMISSIVE,{authenticated},UPDATE,(marketplace_party_id = current_marketplace_party_id()),(marketplace_party_id = current_marketplace_party_id())
public,refund,refund_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,refund,refund_select_customer,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM purchase_order po
  WHERE ((po.id = refund.order_id) AND (po.customer_profile_id = current_customer_profile_id()))))",null
public,review,review_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,review,review_select_public,PERMISSIVE,"{anon,authenticated}",SELECT,true,null
public,review,review_write_own,PERMISSIVE,{authenticated},ALL,(customer_profile_id = current_customer_profile_id()),(customer_profile_id = current_customer_profile_id())
public,saved_space,saved_space_all_own,PERMISSIVE,{authenticated},ALL,(customer_profile_id = current_customer_profile_id()),(customer_profile_id = current_customer_profile_id())
public,service_request,service_request_insert_own,PERMISSIVE,{authenticated},INSERT,null,(customer_profile_id = current_customer_profile_id())
public,service_request,service_request_select,PERMISSIVE,{authenticated},SELECT,"((customer_profile_id = current_customer_profile_id()) OR (marketplace_party_id = current_marketplace_party_id()) OR ((lifecycle_state = 'pending'::service_request_state) AND current_party_is_approved() AND (EXISTS ( SELECT 1
   FROM party_capability pc
  WHERE ((pc.marketplace_party_id = current_marketplace_party_id()) AND (pc.service_type_id = service_request.service_type_id))))))",null
public,service_request,service_request_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,service_request,service_request_update_engaged,PERMISSIVE,{authenticated},UPDATE,((customer_profile_id = current_customer_profile_id()) OR (marketplace_party_id = current_marketplace_party_id())),((customer_profile_id = current_customer_profile_id()) OR (marketplace_party_id = current_marketplace_party_id()))
public,service_type,service_type_select_public,PERMISSIVE,"{anon,authenticated}",SELECT,true,null
public,service_type,service_type_write_admin,PERMISSIVE,{authenticated},ALL,is_admin(),is_admin()
public,settlement,settlement_select_admin,PERMISSIVE,{authenticated},SELECT,is_admin(),null
public,settlement,settlement_select_own,PERMISSIVE,{authenticated},SELECT,(marketplace_party_id = current_marketplace_party_id()),null
